,title,genres
0,Tommy Boy (1995),Comedy
1,Tombstone (1993),Action|Drama|Western
2,Full Metal Jacket (1987),Drama|War
3,"Newton Boys, The (1998)",Crime|Drama
4,Inside Job (2010),Documentary
5,Warrior (2011),Drama
6,"Wolf of Wall Street, The (2013)",Comedy|Crime|Drama
7,The Jinx: The Life and Deaths of Robert Durst (2015),Documentary
8,Saturn 3 (1980),Adventure|Sci-Fi|Thriller
9,"Road Warrior, The (Mad Max 2) (1981)",Action|Adventure|Sci-Fi|Thriller
10,Galaxy of Terror (Quest) (1981),Action|Horror|Mystery|Sci-Fi
11,Alien Contamination (1980),Action|Horror|Sci-Fi
12,Living in Oblivion (1995),Comedy
13,My Fair Lady (1964),Comedy|Drama|Musical|Romance
14,Beautiful Thing (1996),Drama|Romance
15,"Bridge on the River Kwai, The (1957)",Adventure|Drama|War
16,In the Name of the Father (1993),Drama
17,Schindler's List (1993),Drama|War
18,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical
19,Pinocchio (1940),Animation|Children|Fantasy|Musical
20,Dolores Claiborne (1995),Drama|Thriller
21,Tommy Boy (1995),Comedy
22,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller
23,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
24,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
25,Seven Samurai (Shichinin no samurai) (1954),Action|Adventure|Drama
26,Planet of the Apes (1968),Action|Drama|Sci-Fi
27,Spirited Away (Sen to Chihiro no kamikakushi) (2001),Adventure|Animation|Fantasy
28,"Shawshank Redemption, The (1994)",Crime|Drama
29,Four Weddings and a Funeral (1994),Comedy|Romance
30,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
31,Schindler's List (1993),Drama|War
32,Citizen Kane (1941),Drama|Mystery
33,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
34,"Producers, The (1968)",Comedy
35,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy
36,Troy (2004),Action|Adventure|Drama|War
37,Intouchables (2011),Comedy|Drama
38,Skyfall (2012),Action|Adventure|Thriller|IMAX
39,Spectre (2015),Action|Adventure|Crime
40,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
41,"Fugitive, The (1993)",Thriller
42,Amistad (1997),Drama|Mystery
43,Saving Private Ryan (1998),Action|Drama|War
44,Emma (1996),Comedy|Drama|Romance
45,She's All That (1999),Comedy|Romance
46,Love Actually (2003),Comedy|Drama|Romance
47,Pride & Prejudice (2005),Drama|Romance
48,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
49,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
50,Gladiator (2000),Action|Adventure|Drama
51,Snatch (2000),Comedy|Crime|Thriller
52,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
53,Braveheart (1995),Action|Drama|War
54,Legends of the Fall (1994),Drama|Romance|War|Western
55,Nell (1994),Drama
56,Schindler's List (1993),Drama|War
57,Alien (1979),Horror|Sci-Fi
58,Gladiator (2000),Action|Adventure|Drama
59,10 Cloverfield Lane (2016),Thriller
60,Brazil (1985),Fantasy|Sci-Fi
61,Full Metal Jacket (1987),Drama|War
62,Memento (2000),Mystery|Thriller
63,"Dark Knight Rises, The (2012)",Action|Adventure|Crime|IMAX
64,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
65,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Action|Adventure|Western
66,"Matrix, The (1999)",Action|Sci-Fi|Thriller
67,Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984),Adventure|Animation|Drama|Fantasy|Sci-Fi
68,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
69,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Action|Adventure|Western
70,12 Angry Men (1957),Drama
71,Once Upon a Time in the West (C'era una volta il West) (1968),Action|Drama|Western
72,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
73,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi
74,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
75,Who Framed Roger Rabbit? (1988),Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery
76,Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Animation|Comedy
77,West Side Story (1961),Drama|Musical|Romance
78,Muppets From Space (1999),Children|Comedy
79,Bridget Jones's Diary (2001),Comedy|Drama|Romance
80,GoldenEye (1995),Action|Adventure|Thriller
81,Tomorrow Never Dies (1997),Action|Adventure|Thriller
82,American Pie (1999),Comedy|Romance
83,Never Say Never Again (1983),Action|Adventure|Thriller
84,"Shawshank Redemption, The (1994)",Crime|Drama
85,One Flew Over the Cuckoo's Nest (1975),Drama
86,Kill Bill: Vol. 2 (2004),Action|Drama|Thriller
87,Casino Royale (2006),Action|Adventure|Thriller
88,"Third Man, The (1949)",Film-Noir|Mystery|Thriller
89,Full Metal Jacket (1987),Drama|War
90,"Big Sleep, The (1946)",Crime|Film-Noir|Mystery
91,"Samouraï, Le (Godson, The) (1967)",Crime|Drama|Thriller
92,Heat (1995),Action|Crime|Thriller
93,Forrest Gump (1994),Comedy|Drama|Romance|War
94,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
95,Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),Action|Adventure|Animation|Children|Fantasy|Sci-Fi
96,"Matrix, The (1999)",Action|Sci-Fi|Thriller
97,Gladiator (2000),Action|Adventure|Drama
98,WALL·E (2008),Adventure|Animation|Children|Romance|Sci-Fi
99,Avengers: Infinity War - Part I (2018),Action|Adventure|Sci-Fi
100,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
101,"Firm, The (1993)",Drama|Thriller
102,Batman (1989),Action|Crime|Thriller
103,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
104,Forrest Gump (1994),Comedy|Drama|Romance|War
105,Charade (1963),Comedy|Crime|Mystery|Romance|Thriller
106,Wallace & Gromit: The Wrong Trousers (1993),Animation|Children|Comedy|Crime
107,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Sci-Fi
108,Dune (1984),Adventure|Sci-Fi
109,Dune (2000),Drama|Fantasy|Sci-Fi
110,Once (2006),Drama|Musical|Romance
111,Avatar (2009),Action|Adventure|Sci-Fi|IMAX
112,"Bridge on the River Kwai, The (1957)",Adventure|Drama|War
113,"Last of the Mohicans, The (1992)",Action|Romance|War|Western
114,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller
115,Saving Private Ryan (1998),Action|Drama|War
116,Batman Begins (2005),Action|Crime|IMAX
117,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX
118,"Dark Knight Rises, The (2012)",Action|Adventure|Crime|IMAX
119,Deadpool (2016),Action|Adventure|Comedy|Sci-Fi
120,"Rock, The (1996)",Action|Adventure|Thriller
121,Die Hard (1988),Action|Crime|Thriller
122,Everyone Says I Love You (1996),Comedy|Musical|Romance
123,Fantasia (1940),Animation|Children|Fantasy|Musical
124,"Shawshank Redemption, The (1994)",Crime|Drama
125,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
126,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
127,Fargo (1996),Comedy|Crime|Drama|Thriller
128,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
129,Big Night (1996),Comedy|Drama
130,Raise the Red Lantern (Da hong deng long gao gao gua) (1991),Drama
131,There's Something About Mary (1998),Comedy|Romance
132,X-Men (2000),Action|Adventure|Sci-Fi
133,Spider-Man (2002),Action|Adventure|Sci-Fi|Thriller
134,Shaolin Soccer (Siu lam juk kau) (2001),Action|Comedy
135,Lost in Translation (2003),Comedy|Drama|Romance
136,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
137,Apollo 13 (1995),Adventure|Drama|IMAX
138,Little Women (1994),Drama
139,While You Were Sleeping (1995),Comedy|Romance
140,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller
141,Waking Ned Devine (a.k.a. Waking Ned) (1998),Comedy
142,American Graffiti (1973),Comedy|Drama
143,Almost Famous (2000),Drama
144,Apollo 13 (1995),Adventure|Drama|IMAX
145,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
146,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi
147,Sleepers (1996),Thriller
148,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
149,"Shawshank Redemption, The (1994)",Crime|Drama
150,Much Ado About Nothing (1993),Comedy|Romance
151,Schindler's List (1993),Drama|War
152,"Breakfast Club, The (1985)",Comedy|Drama
153,King Kong (1933),Action|Adventure|Fantasy|Horror
154,Go (1999),Comedy|Crime
155,"Sixth Sense, The (1999)",Drama|Horror|Mystery
156,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
157,Taxi Driver (1976),Crime|Drama|Thriller
158,Quiz Show (1994),Drama
159,What's Eating Gilbert Grape (1993),Drama
160,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
161,Zoolander (2001),Comedy
162,Along Came Polly (2004),Comedy|Romance
163,Kill Bill: Vol. 2 (2004),Action|Drama|Thriller
