,title,genres
0,"Shawshank Redemption, The (1994)",Crime|Drama
1,Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Animation|Comedy
2,Ghost in the Shell (Kôkaku kidôtai) (1995),Animation|Sci-Fi
3,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
4,"Godfather, The (1972)",Crime|Drama
5,One Flew Over the Cuckoo's Nest (1975),Drama
6,Lawrence of Arabia (1962),Adventure|Drama|War
7,"Godfather: Part II, The (1974)",Crime|Drama
8,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller
9,Gattaca (1997),Drama|Sci-Fi|Thriller
10,Boogie Nights (1997),Drama
11,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX
12,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
13,Forrest Gump (1994),Comedy|Drama|Romance|War
14,Rear Window (1954),Mystery|Thriller
15,Casablanca (1942),Drama|Romance
16,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
17,Goodfellas (1990),Crime|Drama
18,Alien (1979),Horror|Sci-Fi
19,Ran (1985),Drama|War
20,"Godfather: Part II, The (1974)",Crime|Drama
21,Full Metal Jacket (1987),Drama|War
22,Amadeus (1984),Drama
23,"Boot, Das (Boat, The) (1981)",Action|Drama|War
24,"Shawshank Redemption, The (1994)",Crime|Drama
25,Forrest Gump (1994),Comedy|Drama|Romance|War
26,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
27,Rear Window (1954),Mystery|Thriller
28,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller
29,Casablanca (1942),Drama|Romance
30,Goodfellas (1990),Crime|Drama
31,"Godfather: Part II, The (1974)",Crime|Drama
32,Full Metal Jacket (1987),Drama|War
33,Amadeus (1984),Drama
34,American History X (1998),Crime|Drama
35,Fight Club (1999),Action|Crime|Drama|Thriller
36,"Shawshank Redemption, The (1994)",Crime|Drama
37,Forrest Gump (1994),Comedy|Drama|Romance|War
38,Schindler's List (1993),Drama|War
39,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
40,"Godfather, The (1972)",Crime|Drama
41,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance
42,Reservoir Dogs (1992),Crime|Mystery|Thriller
43,One Flew Over the Cuckoo's Nest (1975),Drama
44,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller
45,"Shining, The (1980)",Horror
46,"Green Mile, The (1999)",Crime|Drama
47,"Departed, The (2006)",Crime|Drama|Thriller
48,Glory (1989),Drama|War
49,Manhattan (1979),Comedy|Drama|Romance
50,Miller's Crossing (1990),Crime|Drama|Film-Noir|Thriller
51,"Graduate, The (1967)",Comedy|Drama|Romance
52,Touch of Evil (1958),Crime|Film-Noir|Thriller
53,"Femme Nikita, La (Nikita) (1990)",Action|Crime|Romance|Thriller
54,"Bridge on the River Kwai, The (1957)",Adventure|Drama|War
55,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller
56,"Shining, The (1980)",Horror
57,Stand by Me (1986),Adventure|Drama
58,Unforgiven (1992),Drama|Western
59,"Green Mile, The (1999)",Crime|Drama
60,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
61,Blade Runner (1982),Action|Sci-Fi|Thriller
